   text	   data	    bss	    dec	    hex	filename
    380	      0	      0	    380	    17c	../../..//mediatek/platform/mt6577/uboot/addr_trans.o
   6488	      8	   4768	  11264	   2c00	../../..//mediatek/platform/mt6577/uboot/bmt.o
    296	      0	      4	    300	    12c	../../..//mediatek/platform/mt6577/uboot/boot_mode.o
     80	      0	      0	     80	     50	../../..//mediatek/platform/mt6577/uboot/disp_assert_layer.o
   2410	     40	      0	   2450	    992	../../..//mediatek/platform/mt6577/uboot/disp_drv_dbi.o
   3805	     48	     28	   3881	    f29	../../..//mediatek/platform/mt6577/uboot/disp_drv_dpi.o
   7370	     40	     32	   7442	   1d12	../../..//mediatek/platform/mt6577/uboot/disp_drv_dsi.o
  15323	    116	    796	  16235	   3f6b	../../..//mediatek/platform/mt6577/uboot/disp_drv.o
   2303	      0	    192	   2495	    9bf	../../..//mediatek/platform/mt6577/uboot/dpi_drv.o
   8447	      0	    772	   9219	   2403	../../..//mediatek/platform/mt6577/uboot/dsi_drv.o
    781	      0	      0	    781	    30d	../../..//mediatek/platform/mt6577/uboot/irq.o
  18707	      4	   4076	  22787	   5903	../../..//mediatek/platform/mt6577/uboot/lcd_drv.o
   6061	      0	     28	   6089	   17c9	../../..//mediatek/platform/mt6577/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6577/uboot/lowlevel_init.o
  15592	      0	   3124	  18716	   491c	../../..//mediatek/platform/mt6577/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6577/uboot/mmc_test.o
  11700	      0	    232	  11932	   2e9c	../../..//mediatek/platform/mt6577/uboot/msdc.o
    220	      0	      0	    220	     dc	../../..//mediatek/platform/mt6577/uboot/msdc_utils.o
    932	      0	      0	    932	    3a4	../../..//mediatek/platform/mt6577/uboot/mt6577_auxadc.o
  12780	    184	    592	  13556	   34f4	../../..//mediatek/platform/mt6577/uboot/mt6577_bat.o
    981	      0	      0	    981	    3d5	../../..//mediatek/platform/mt6577/uboot/mt6577_board.o
    328	      0	      0	    328	    148	../../..//mediatek/platform/mt6577/uboot/mt6577_factory.o
    356	    224	     32	    612	    264	../../..//mediatek/platform/mt6577/uboot/mt6577_gpio_init.o
   6075	      4	      0	   6079	   17bf	../../..//mediatek/platform/mt6577/uboot/mt6577_gpio.o
   1695	      0	      0	   1695	    69f	../../..//mediatek/platform/mt6577/uboot/mt6577_i2c.o
   1246	      0	      0	   1246	    4de	../../..//mediatek/platform/mt6577/uboot/mt6577_meta.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6577/uboot/mt6577_nand.o
    616	      0	     24	    640	    280	../../..//mediatek/platform/mt6577/uboot/mt6577.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6577/uboot/mt6577_pll.o
  24492	      4	     12	  24508	   5fbc	../../..//mediatek/platform/mt6577/uboot/mt6577_pmic6329.o
   4734	     28	      8	   4770	   12a2	../../..//mediatek/platform/mt6577/uboot/mt6577_pwm.o
    541	      0	      0	    541	    21d	../../..//mediatek/platform/mt6577/uboot/mt6577_recovery.o
   1287	      0	      0	   1287	    507	../../..//mediatek/platform/mt6577/uboot/mt6577_rtc.o
   1636	      0	      0	   1636	    664	../../..//mediatek/platform/mt6577/uboot/mt6577_sleep.o
   2563	      0	    156	   2719	    a9f	../../..//mediatek/platform/mt6577/uboot/mt65xx_disp_drv.o
   2050	     28	      8	   2086	    826	../../..//mediatek/platform/mt6577/uboot/mt65xx_leds.o
   2330	      0	      4	   2334	    91e	../../..//mediatek/platform/mt6577/uboot/mt65xx_logo.o
   2290	      0	   3544	   5834	   16ca	../../..//mediatek/platform/mt6577/uboot/mt65xx_partition.o
    361	      0	      0	    361	    169	../../..//mediatek/platform/mt6577/uboot/mtk_key.o
   1273	      0	      8	   1281	    501	../../..//mediatek/platform/mt6577/uboot/mtk_serial.o
    828	      0	      8	    836	    344	../../..//mediatek/platform/mt6577/uboot/mtk_timer.o
    543	      0	      4	    547	    223	../../..//mediatek/platform/mt6577/uboot/mtk_wdt.o
   3668	      0	   9316	  12984	   32b8	../../..//mediatek/platform/mt6577/uboot/partition_mt.o
